,url,名前,説明文,base,tec,taste,style,top,glass,color,度数,特徴,画像
18,https://cocktail-f.com/cocktails/19,ブルドッグ,ソルティ・ドッグをスノースタイルにせずにウォッカをグレープフルーツ・ジュースで割ったシンプルなカクテル。名前の由来として塩を抜いたソルティ・ドッグ→しっぽがない犬→ブルドッグとなったと言われる。,ウォッカ,ビルド,中口,ロング,オール,オールドファッションドグラス,黄,11%,"['スタンダード', 'シンプル', '飲みやすい']",https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
19,https://cocktail-f.com/cocktails/20,モスコ・ミュール,ラバのひと蹴りと呼ばれる、ウォッカとジンジャーエールとライムのさっぱりとした飲みやすいカクテル。辛口のジンジャーエールでよりピリッとした味わいに。,ウォッカ,ビルド,中口,ロング,オール,タンブラー,黄金色,11%,"['スタンダード', 'さっぱり', '爽やか', '飲みやすい', '料理に合う']",https://dm58o2i5oqos8.cloudfront.net/photos/20.jpg
20,https://cocktail-f.com/cocktails/21,エッグ・ノッグ,牛乳ベースの甘いカクテル。洋酒を抜いてノンアルコールとしても美味しくいただける。また、牛乳を温めることでホットカクテルとしても飲むことができる。,ラム,シェイク,中口,ロング,食後,タンブラー,黄,9%,"['濃厚', 'ホット', 'まろやか']",https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
21,https://cocktail-f.com/cocktails/22,グリーン・シー,グリーンミントリキュールの鮮やかな緑が美しい、キリッと爽やかなカクテル。度数は高めだがライトな飲み口となっている。,ウォッカ,ステア,中辛口,ショート,オール,カクテルグラス,緑,30%,['爽やか'],https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
22,https://cocktail-f.com/cocktails/23,ダイキリ,19世紀後半のダイキリ鉱山で働く鉱夫たちが暑さしのぎに飲んだのが始まりと言われる。ライム・ジュースをレモン・ジュースに変えても良い。,ラム,シェイク,中辛口,ショート,オール,カクテルグラス,白,28%,"['スタンダード', 'さっぱり', '歴史ある']",https://dm58o2i5oqos8.cloudfront.net/photos/23.jpg
23,https://cocktail-f.com/cocktails/24,ハバナ・ビーチ,ラム特有の香りにパイナップルジュースの甘酸っぱさとシロップの甘味が加わった口当たりまろやかで飲みやすいカクテル。キューバの首都の名前の通り南国のトロピカルさを感じることができる。,ラム,シェイク,中口,ショート,オール,カクテルグラス,黄,19%,"['飲みやすい', 'トロピカル']",https://dm58o2i5oqos8.cloudfront.net/photos/24.jpg
24,https://cocktail-f.com/cocktails/25,ボストン・クーラー,クーラーとは蒸留酒にレモンなどの酸味と甘味を加えて炭酸を加えたもの。ボストン・クーラーはその中でもラムを使った代表的なカクテルで、味わいはさっぱりとしており夏場の暑いときに最初の１杯に喉を潤すのに最適。,ラム,シェイク,中口,ロング,オール,タンブラー,透明,13%,"['スタンダード', 'さっぱり', '爽やか', '飲みやすい', '料理に合う']",https://dm58o2i5oqos8.cloudfront.net/photos/25.jpg
25,https://cocktail-f.com/cocktails/26,マイアミ,ラムの産地キューバに近いマイアミをイメージしたさわやかなカクテル。材料の比率を変えるとXYZになる。,ラム,シェイク,中口,ショート,オール,カクテルグラス,白,37%,"['爽やか', '強い']",https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
26,https://cocktail-f.com/cocktails/27,エル・ディアブロ,酸味がきいたさわやかな飲み口だが、飲みやすさの裏には悪魔が隠れているので飲み過ぎには注意。,テキーラ,ビルド,中甘口,ロング,オール,タンブラー,赤,11%,"['爽やか', '酸っぱい']",https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
27,https://cocktail-f.com/cocktails/28,マルガリータ,アメリカロサンゼルスのバーテンダー、ジャン・デュレッサー氏が若き日の亡くなった恋人マルガリータを偲んでつけられたと言われる。テキーラの風味と柑橘の酸味がマッチしたスノースタイルのカクテル。,テキーラ,シェイク,中辛口,ショート,オール,カクテルグラス,白,30%,"['スタンダード', 'エレガント']",https://dm58o2i5oqos8.cloudfront.net/photos/28.jpg
28,https://cocktail-f.com/cocktails/29,ウイスキー・ソーダ,ウイスキーを炭酸水で割っただけのシンプルな一杯。いわゆるハイボールで家でも簡単に作ることができるが、炭酸ができる限り抜けないようにステアには気をつけたい。好みのウイスキーでお気に入りのウイスキー・ソーダを作ろう。,ウイスキー,ビルド,中辛口,ロング,オール,タンブラー,黄金色,13%,"['スタンダード', 'シンプル', '爽やか', '飲みやすい', '料理に合う']",https://dm58o2i5oqos8.cloudfront.net/photos/29.jpg
29,https://cocktail-f.com/cocktails/30,サイドカー,ホワイト・キュラソーとレモンのさわやかさがブランデーの香りにマッチした一杯。名前の由来はサイドカーに乗った将校が恐怖を紛らわすためレモンをかじりながらブランデーを飲んだなど諸説ある。,ブランデー,シェイク,中辛口,ショート,オール,カクテルグラス,茶色,30%,"['スタンダード', '爽やか']",https://dm58o2i5oqos8.cloudfront.net/photos/30.jpg
30,https://cocktail-f.com/cocktails/31,ブランデー・エッグノッグ,エッグ・ノッグのブランデーの比率を変えた甘いカクテル。ホットで飲む場合はレシピが異なるため「ホット・ブランデー・エッグノッグ」で検索,ブランデー,シェイク,甘口,ロング,食後,タンブラー,白,9%,"['濃厚', 'まろやか']",https://dm58o2i5oqos8.cloudfront.net/photos/31.jpg
31,https://cocktail-f.com/cocktails/32,ニコラシカ,飲み方が非常に特徴的なカクテル。まず、砂糖をレモンで包み込むように持って口に入れて噛む。そして甘みと酸味が口の中に広がったところでブランデーを一気に口の中に含み、口の中で混ざったものを楽しむ。レモンの皮が苦手な場合は先に皮を剥いておいても良い。,ブランデー,ビルド,中口,ショート,食後,リキュールグラス,茶色,36%,"['楽しい', '男らしい', '強い']",https://dm58o2i5oqos8.cloudfront.net/photos/32.jpg
32,https://cocktail-f.com/cocktails/33,ホット・バタード・ラム・カウ,はちみつ、バター、牛乳のまろやかさとラムの刺激が美味しいホットカクテル。ラムの量を調整することでお酒が苦手な人でも楽しめる。ラムの種類はどれでも良いが、ゴールド・ラムまたはダーク・ラムが味に深みがでておすすめ。,ラム,ビルド,甘口,ロング,食後,ホットグラス,白,15%,"['濃厚', 'ホット', 'まろやか']",https://dm58o2i5oqos8.cloudfront.net/photos/33.jpg
33,https://cocktail-f.com/cocktails/34,アプリコット・クーラー,アプリコット・ブランデーのまろやかな香りと、炭酸のさっぱりとした味わいで女性に人気のカクテル。,リキュール,シェイク,中甘口,ロング,オール,コリンズグラス,赤,5%,"['爽やか', '飲みやすい', '女性におすすめ']",https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
34,https://cocktail-f.com/cocktails/35,チャイナ・ブルー,ライチの甘み、ブルーキュラソーの酸味、グレープフルーツジュースの苦味が絶妙にマッチしたさわやかな味わい。ブルーの色合いも美しく、女性に人気が高い。,リキュール,ビルド,甘口,ロング,オール,コリンズグラス,青,11%,"['スタンダード', 'さっぱり', '飲みやすい', '女性におすすめ']",https://dm58o2i5oqos8.cloudfront.net/photos/35.jpg
35,https://cocktail-f.com/cocktails/36,バレンシア,オレンジで有名なスペインのバレンシア地方の名がつくカクテル。アプリコットとオレンジの香りの調和が素晴らしく、甘く飲みやすいため女性にも人気がある。グラスはカクテルグラスでも氷を入れて好きなグラスに入れても良い。管理人おすすめの一杯。,リキュール,シェイク,中甘口,ショート,オール,カクテルグラス,オレンジ,15%,"['スタンダード', '飲みやすい']",https://dm58o2i5oqos8.cloudfront.net/photos/36.jpg
36,https://cocktail-f.com/cocktails/37,カンパリ・オレンジ,苦味が特徴的なカンパリを使った代表的なカクテル。カンパリをオレンジジュースで割るだけのシンプルなレシピで、オレンジジュースを使う分カンパリソーダより飲みやすい。最近は居酒屋でもメニューにあることが多い。,リキュール,ビルド,中口,ロング,オール,タンブラー,赤,8%,"['スタンダード', 'シンプル']",https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
37,https://cocktail-f.com/cocktails/38,カンパリ・ソーダ,カンパリをソーダで割るだけのシンプルなカクテル。カットしたオレンジを加えることで風味が増す。カンパリの苦味をストレートに感じる大人の味。,リキュール,ビルド,中口,ロング,オール,タンブラー,赤,8%,"['スタンダード', 'シンプル', 'さっぱり', '料理に合う']",https://dm58o2i5oqos8.cloudfront.net/photos/38.jpg
38,https://cocktail-f.com/cocktails/39,グラス・ホッパー,ミント、カカオ、生クリームの組み合わせからわかるように、味わいは濃厚なチョコミント。食後のドリンクとして最後の一杯の定番の一つ。生クリームを使ったカクテルは混ざりづらいため十分にシェイクすること。,リキュール,シェイク,甘口,ショート,食後,カクテルグラス,緑,15%,"['スタンダード', '爽やか', '濃厚', '飲みやすい', '女性におすすめ']",https://dm58o2i5oqos8.cloudfront.net/photos/39.jpg
39,https://cocktail-f.com/cocktails/40,カルーア・ミルク,居酒屋でもよく置かれるようになった、カルーアと牛乳だけで作れるシンプルなカクテル。材料を混ぜずにグラスのなかで分離させておくことで、コーヒーリキュールと牛乳の層が美しくでる。,リキュール,ビルド,甘口,ロング,食後,オールドファッションドグラス,茶色,12%,"['スタンダード', 'シンプル', '濃厚']",https://dm58o2i5oqos8.cloudfront.net/photos/40.jpg
40,https://cocktail-f.com/cocktails/41,カルーア・ラテ,カルーア・ミルクと同じ分量で、材料をシェイクしたもの。シェイクすることでミルクが細かくなめらかな泡となってより上品でリッチな味わいになる。,リキュール,シェイク,甘口,ロング,食後,オールドファッションドグラス,茶色,12%,"['濃厚', 'まろやか']",https://dm58o2i5oqos8.cloudfront.net/photos/41.jpg
41,https://cocktail-f.com/cocktails/42,ニエベ・メヒカーナ,メキシコの高地に降る雪という名のカクテル。ふんわりとした泡に加え、生クリームを追加する分、カルーア・ラテよりもさらに濃厚で甘い味わいとなる。カルーア・ミルク→カルーア・ラテ→ニエベ・メヒカーナの違いを楽しもう。,リキュール,シェイク,甘口,ロング,食後,オールドファッションドグラス,茶色,9%,"['濃厚', 'まろやか']",https://dm58o2i5oqos8.cloudfront.net/photos/42.jpg
42,https://cocktail-f.com/cocktails/43,ブラック・ルシアン,ウォッカとコーヒーリキュールだけのシンプルなカクテル。コーヒーリキュールの味が直に伝わってくる。飲みやすさに対して度数が非常に高いので注意。,リキュール,ビルド,中口,ロング,オール,オールドファッションドグラス,黒,30%,"['スタンダード', 'シンプル', 'キレがある']",https://dm58o2i5oqos8.cloudfront.net/photos/43.jpg
43,https://cocktail-f.com/cocktails/44,ホワイト・ルシアン,ブラック・ルシアンに生クリームを浮かべたカクテル。ウォッカの刺激をコーヒー・リキュールと生クリームが優しく包む甘くて飲みやすいカクテル。,リキュール,ビルド,中甘口,ロング,オール,オールドファッションドグラス,黒,25%,"['スタンダード', 'まろやか']",https://dm58o2i5oqos8.cloudfront.net/photos/44.jpg
44,https://cocktail-f.com/cocktails/45,キール,フランス、ディジョンの市長、フェリックス・キール氏が考案したと言われる。家庭で白ワインを飲みきれなかった場合など、カクテルにすることで味を変えて楽しむことができる。,ワイン,ビルド,中口,ショート,食前,ワイングラス,赤,13%,['シンプル'],https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
45,https://cocktail-f.com/cocktails/46,ベルモット・アンド・カシス,甘酸っぱいカシスとベルモットのかすな甘さを炭酸水で割った軽快なカクテル。フランスでは別名「ポンピエ（消防士）」とも呼ばれている。,ワイン,ビルド,中口,ロング,オール,タンブラー,赤,10%,['爽やか'],https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
46,https://cocktail-f.com/cocktails/47,シャンディー・ガフ,ビールの苦味をジンジャーエールで抑え、ダブルの炭酸で爽快感もあるビアカクテル。度数控えめでアルコール特有の味と匂いが少なく、お酒が苦手な人でも飲みやすい。また、見た目がビールと変わらないので飲み会の席でお酒を飲んでる風に装える。（実際は度数3%ほとでノンアルコールではないので注意）,ビール,ビルド,中口,ロング,オール,ゴブレット,黄金色,3%,"['スタンダード', 'シンプル', '爽やか', '飲みやすい', '料理に合う']",https://dm58o2i5oqos8.cloudfront.net/photos/47.jpg
47,https://cocktail-f.com/cocktails/48,レッド・アイ,二日酔いの目が赤くなった状態からこの名がついたと言われている。トマト・ジュースが爽やかで飲んだ翌朝に迎え酒とし飲む事ても有名。（なお、迎え酒はアルコール依存症への道なのでやめましょう）,ビール,ビルド,中口,ロング,オール,ゴブレット,赤,3%,"['スタンダード', 'シンプル', '酔い醒まし']",https://dm58o2i5oqos8.cloudfront.net/photos/48.jpg
48,https://cocktail-f.com/cocktails/49,サムライ・ロック,日本酒にライムを入れるだけのシンプルなカクテル。日本酒特有の匂いをライムで抑えているため、日本酒が苦手な人でも飲みやすくなっている。,日本酒,ビルド,中辛口,ロング,オール,オールドファッションドグラス,透明,16%,"['シンプル', 'キレがある']",https://dm58o2i5oqos8.cloudfront.net/photos/49.jpg
49,https://cocktail-f.com/cocktails/50,ミルク・セーキ,シンプルな材料で家庭でも作れる、卵と牛乳のやさしい味わいの一品。牛乳を温めてホットでいただくことも。,なし,シェイク,甘口,ロング,食後,ゴブレット,白,0%(ノンアルコール),"['濃厚', '飲みやすい', 'まろやか']",https://dm58o2i5oqos8.cloudfront.net/photos/50.jpg
50,https://cocktail-f.com/cocktails/51,レモネード,レモンの爽快感と砂糖の甘みで喉が渇いたときに飲み干したい一品。レモンを砂糖漬けにしたシロップを準備しておき、薄めて作る方法もある。,なし,ビルド,中甘口,ロング,オール,タンブラー,白,0%(ノンアルコール),"['さっぱり', '爽やか', '飲みやすい', '酸っぱい']",https://dm58o2i5oqos8.cloudfront.net/photos/51.jpg
51,https://cocktail-f.com/cocktails/52,家康,「CAVACAVA」のオリジナルカクテル。淡い紫色が底に沈む、家康に潜む闇を表現している。,ジン,シェイク,中口,ショート,オール,カクテルグラス,白,30%,['オリジナル'],https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
52,https://cocktail-f.com/cocktails/53,パリジャン,かつてクレーム・ド・カシスの販売促進用に考えられたカクテルと言われている。マティーニのレシピに似ているが、カシスの甘みが足されており、やや万人向け。,ジン,ステア,中口,ショート,食前,カクテルグラス,赤,30%,"['美しい', '男らしい']",https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
53,https://cocktail-f.com/cocktails/54,スカイ・ダイビング,深い青色が美しいさわやかなカクテル。1967年の全日本バーテンダー協会カクテルコンペティションの優勝作品。,ラム,シェイク,中辛口,ショート,オール,カクテルグラス,青,28%,"['爽やか', '美しい']",https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
54,https://cocktail-f.com/cocktails/55,ラム・コリンズ,ラムベースのコリンズスタイルのカクテル。コリンズとはスピリッツにレモン・ジュース、砂糖を加え、炭酸水で満たすスタイルのカクテルを指す。フィズに近いが、一般的にフィズで使うタンブラーよりもコリンズグラスのサイズが大きいため、一杯の量が多い。,ラム,ビルド,中甘口,ロング,オール,コリンズグラス,透明,13%,"['スタンダード', 'さっぱり', '爽やか', '飲みやすい', '料理に合う']",https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
55,https://cocktail-f.com/cocktails/56,ブランティーニ,ブランデー、ジン、ベルモットの三重の香りで満たされた非常にふくよかなカクテル。度数が高いにもかかわらず、それを感じさせない強い香りが特徴的。,ブランデー,ステア,辛口,ショート,食前,カクテルグラス,茶色,37%,"['キレがある', 'エレガント']",https://dm58o2i5oqos8.cloudfront.net/photos/56.jpg
56,https://cocktail-f.com/cocktails/57,インペリアル・フィズ,ラム、レモン、シュガーシロップが加わることで甘くさっぱりとしたハイボールといった味わい。皇帝という名前のわりに飲みやすいカクテル。,ウイスキー,シェイク,中口,ロング,オール,タンブラー,黄金色,12%,"['さっぱり', '飲みやすい']",https://dm58o2i5oqos8.cloudfront.net/photos/57.jpg
57,https://cocktail-f.com/cocktails/58,ナイトメア・オブ・レッド,「CocktailType」というカクテルレシピサイトの管理人がカクテルアワードに応募しようとして悪夢を見たのが名前の由来。カンパリの苦味、ジンの辛味、パイナップルの甘みを感じる辛口でパンチの強いカクテル。,ジン,ビルド,辛口,ロング,食前,オールドファッションドグラス,赤,22%,"['男らしい', 'オリジナル']",https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
58,https://cocktail-f.com/cocktails/59,アクア,鮮やかなエメラルドグリーンの中に気泡が浮かぶ非常に美しいカクテル。ミントリキュールをトニックがまろやかに包み込み飲みやすく仕上がっている。,ウォッカ,シェイク,中口,ロング,オール,シャンパングラス,緑,9%,"['爽やか', '飲みやすい', '美しい']",https://dm58o2i5oqos8.cloudfront.net/photos/59.jpg
59,https://cocktail-f.com/cocktails/60,ゼニス・クーラー,パイナップルとジンが絶妙にマッチした、絶頂という意味のクーラースタイルのカクテル。パイナップルがさっぱりとしていて夏にピッタリな味わい。,ジン,ビルド,中口,ロング,オール,タンブラー,透明,18%,"['さっぱり', '飲みやすい']",https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
60,https://cocktail-f.com/cocktails/61,バーボン・バック,バーボンとジンジャーエールがマッチした、爽やかで飲みやすいカクテル。ウイスキーで作ればウイスキー・バックになる。,ウイスキー,ビルド,中辛口,ロング,オール,タンブラー,黄金色,10%,"['スタンダード', '爽やか']",https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
61,https://cocktail-f.com/cocktails/62,オレンジ・フィズ,ドライ・ジンの苦味を残しつつもオレンジで飲みやすく仕上がったカクテルで、女性に人気がある。,ジン,シェイク,中口,ロング,オール,タンブラー,オレンジ,16%,"['スタンダード', 'さっぱり', '飲みやすい']",https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
62,https://cocktail-f.com/cocktails/63,ディタモーニ,チャイナ・ブルーと同じくライチとグレープフルーツをあわせたカクテル。トニック・ウォーターで割っている分炭酸で喉ごし爽やかな味わいで女性に人気がある。「ディタ」はライチリキュールの代表的な銘柄だが、ディタ以外のライチリキュールを使っても問題ない。,リキュール,ビルド,中甘口,ロング,オール,コリンズグラス,白,4%,"['爽やか', '飲みやすい', '女性におすすめ']",https://dm58o2i5oqos8.cloudfront.net/photos/63.jpg
63,https://cocktail-f.com/cocktails/64,コロンブス,ラムのコクにアプリコット・ブランデーの甘みとレモンの酸味が合わさり、香りは甘く飲むと少し酸っぱいカクテル。コロンブスのような冒険の旅に出かける際の一杯に。,ラム,シェイク,中口,ショート,オール,カクテルグラス,オレンジ,26%,['酸っぱい'],https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
64,https://cocktail-f.com/cocktails/65,ミッドナイト・カウボーイ,バーボンとダーク・ラムの豊かな香りと生クリームのまろやかな口当たりを楽しめるが、度数が強くカウボーイの名に負けない味わいの強いカクテル。,ウイスキー,シェイク,中辛口,ショート,オール,オールドファッションドグラス,白,33%,"['男らしい', 'まろやか']",https://dm58o2i5oqos8.cloudfront.net/photos/65.jpg
65,https://cocktail-f.com/cocktails/66,プラチナ・ブロンド,オレンジとラムの風味と生クリームのまろやかさと甘みがマッチし、上品なケーキのような味わい。銀白色の髪の女性のように純白で美しい。,ラム,シェイク,甘口,ショート,食後,カクテルグラス,白,27%,"['濃厚', '美しい', 'まろやか']",https://dm58o2i5oqos8.cloudfront.net/photos/66.jpg
66,https://cocktail-f.com/cocktails/67,ソルト・リック,作り方はソルティ・ドッグにトニック・ウォーターを加えたもの。トニック・ウォーターの炭酸が加わることで、より飲みやすく飽きのこない味わいとなっている。,ウォッカ,ビルド,中口,ロング,食前,コリンズグラス,白,10%,"['さっぱり', '飲みやすい']",https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
67,https://cocktail-f.com/cocktails/68,ウイスキー・サワー,サワー系のカクテルの中でも代表的なレシピで、ウイスキーにレモンの酸味と甘味が加わり飲みやすくなっている。本来「サワー」とは炭酸ではなく酸味の意味を指すため、炭酸は入っていない。,ウイスキー,シェイク,中辛口,ショート,オール,サワーグラス,黄金色,24%,"['スタンダード', '酸っぱい', '料理に合う']",https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
